frame,tracking_order,direction,variant,boundary_seed,rotation_step_from_initial_deg,translation_step_from_initial_cm,observation_to_template_cm,icp_fitness,icp_inlier_rmse_cm,iterations,termination,available_correspondences,retained_correspondences
20,20,forward,robust,False,1.016299708686967,1.2669702819698025,2.021909373529848,1.0,1.1903041282257254,50,maximum_iterations,10000,8000
21,21,forward,robust,False,4.214452695369684,2.335054171782467,2.0742239957927615,1.0,1.3598035441253462,38,converged,10000,8000
22,22,forward,robust,False,3.0743741692476174,3.1577001043326893,2.3664446513786235,0.9921,1.6216543611196959,50,maximum_iterations,9921,7937
23,23,forward,robust,False,6.772744838902866,1.9320906627202044,2.0308701386217227,1.0,1.3382278037070499,50,maximum_iterations,10000,8000
24,24,forward,robust,False,1.067068446651698,1.5994590206733297,2.0989654602879892,1.0,1.3558730209172243,50,maximum_iterations,10000,8000
25,25,forward,robust,False,2.3906870442017882,2.1932178403827502,2.0088253216772607,1.0,1.3119411184504488,34,converged,10000,8000
26,26,forward,robust,False,4.719734237913607,3.411763220227849,2.9809904462583288,0.9979,2.384508822000824,50,maximum_iterations,9979,7984
27,27,forward,robust,False,4.6561659736821,2.991890800645668,1.974886859699129,1.0,1.2209766468077559,50,maximum_iterations,10000,8000
28,28,forward,robust,False,1.7480382506484993,4.9274032593517525,1.935808653487122,0.9985,1.143489628721641,46,converged,9985,7988
29,29,forward,robust,False,2.504065054033502,1.1921218154314441,1.9399043351136198,1.0,1.2555558804604021,43,converged,10000,8000
30,30,forward,robust,False,6.895262741361968,3.3847368637309874,2.656607272323956,1.0,2.204572044445895,50,maximum_iterations,10000,8000
31,31,forward,robust,False,1.113850664590954,4.0197382285340355,2.784914672410836,0.9994,2.1764373181589898,50,maximum_iterations,9994,7996
32,32,forward,robust,False,5.264198742466003,2.7760521479703293,2.9520186427055752,1.0,2.370165478068086,50,maximum_iterations,10000,8000
33,33,forward,robust,False,3.009882516974147,9.176620022206853,2.1676759563162658,0.9997,1.3833659114894215,50,maximum_iterations,9997,7998
34,34,forward,robust,False,4.163121163592073,5.044698198831812,2.0687835446086535,1.0,1.5577824315239786,50,maximum_iterations,10000,8000
35,35,forward,robust,False,3.3817960436141496,2.956979017420019,2.51423615453328,0.9758,1.3910919695257176,35,converged,9758,7807
36,36,forward,robust,False,1.6073172987253355,2.5009363961841213,2.044399669372903,1.0,1.4010896036048914,41,converged,10000,8000
37,37,forward,robust,False,1.883836516513301,5.596160958366323,2.1686929192092514,1.0,1.643496134290871,50,maximum_iterations,10000,8000
38,38,forward,robust,False,1.914887055749934,1.4852158095977623,2.3268999489106377,1.0,1.6940930685229352,50,maximum_iterations,10000,8000
39,39,forward,robust,False,3.2513847006052883,3.7597082456903137,1.6040409236751672,1.0,1.275085951163336,50,maximum_iterations,10000,8000
40,40,forward,robust,False,2.6384091400968335,6.377996609465171,1.9572360555484212,1.0,1.3601218088883607,47,converged,10000,8000
41,41,forward,robust,False,1.383016547650362,4.03690799574964,1.8959223157630667,1.0,1.2494334156591613,50,maximum_iterations,10000,8000
42,42,forward,robust,False,0.9985937110809412,1.9563160486239537,1.8327442529459448,1.0,1.2193703430596836,50,maximum_iterations,10000,8000
43,43,forward,robust,False,1.827019396938433,1.2498611037631324,1.8975798827190686,1.0,1.2779911150346148,50,maximum_iterations,10000,8000
44,44,forward,robust,False,6.934412648869178,7.592466904761847,2.077743025310477,1.0,1.4797106634301687,50,maximum_iterations,10000,8000
45,45,forward,robust,False,1.0488598014611425,2.815399575996425,2.5043186094840313,0.9952,1.6530024852201297,50,maximum_iterations,9952,7962
46,46,forward,robust,False,1.4105782876690476,2.8976968697519747,2.2795216217517336,1.0,1.6608161247016937,42,converged,10000,8000
